text,rating,review_date,verified_purchase,helpful_votes,label
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 1.8 stars.",1.8,2025-04-04 22:11:49.762219,True,5,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.8 stars.",2.8,2025-11-13 22:11:49.762355,True,12,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 1.9 stars.",1.9,2025-03-03 22:11:49.762394,True,0,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.0 stars.",3.0,2025-07-27 22:11:49.762414,True,10,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.1 stars.",4.1,2025-03-20 22:11:49.762434,False,8,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.3 stars.",3.3,2025-04-26 22:11:49.762449,False,14,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.7 stars.",4.7,2025-08-14 22:11:49.762462,False,16,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 5.0 stars.",5.0,2025-07-18 22:11:49.762476,False,16,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.1 stars.",4.1,2025-10-29 22:11:49.762491,True,0,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.1 stars.",3.1,2025-05-19 22:11:49.762506,False,8,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.6 stars.",4.6,2025-11-25 22:11:49.762519,True,8,high_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.3 stars.",3.3,2025-02-22 22:11:49.762536,False,10,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.9 stars.",3.9,2025-07-23 22:11:49.762552,True,7,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.0 stars.",4.0,2025-06-09 22:11:49.762565,False,8,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.0 stars.",2.0,2025-02-24 22:11:49.762579,True,19,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.8 stars.",2.8,2025-01-28 22:11:49.762593,True,15,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.0 stars.",4.0,2025-07-27 22:11:49.762652,True,11,high_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.1 stars.",4.1,2025-09-23 22:11:49.762668,True,3,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.6 stars.",3.6,2025-04-17 22:11:49.762682,False,20,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.1 stars.",2.1,2025-01-21 22:11:49.762695,True,7,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.4 stars.",3.4,2025-11-14 22:11:49.762711,False,18,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.0 stars.",3.0,2025-01-06 22:11:49.762726,False,14,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.7 stars.",3.7,2025-11-04 22:11:49.762739,True,13,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.0 stars.",4.0,2025-08-23 22:11:49.762754,False,7,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.9 stars.",2.9,2025-04-25 22:11:49.762769,True,0,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.9 stars.",3.9,2025-08-07 22:11:49.762785,True,13,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.1 stars.",4.1,2025-07-24 22:11:49.762804,True,9,high_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 1.3 stars.",1.3,2025-01-15 22:11:49.762828,False,13,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.2 stars.",2.2,2025-01-18 22:11:49.763002,True,6,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.4 stars.",4.4,2025-08-09 22:11:49.763075,True,20,high_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.5 stars.",4.5,2025-03-16 22:11:49.763089,False,0,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.4 stars.",3.4,2025-01-26 22:11:49.763102,False,6,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 1.8 stars.",1.8,2025-04-22 22:11:49.763284,False,8,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.1 stars.",3.1,2025-02-25 22:11:49.763314,False,13,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.2 stars.",2.2,2025-11-15 22:11:49.763327,False,1,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 1.6 stars.",1.6,2025-08-13 22:11:49.763336,True,20,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.5 stars.",3.5,2025-02-26 22:11:49.763360,True,10,low_quality
